<DTYYYYMMDD>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
20210216,000000,3607.6852451723,3622.7103109782,3607.6852451723,3607.6852451723,26740430,20210216
20210217,000000,3535.8988196553,3535.8988196553,3535.8988196553,3535.8988196553,13788425,20210217
20210220,000000,3496.6667033843,3496.6667033843,3496.6667033843,3496.6667033843,12526784,20210220
20210221,000000,3461.6082165039,3461.6082165039,3461.6082165039,3461.6082165039,5968986,20210221
20210222,000000,3444.9136989417,3444.9136989417,3444.9136989417,3444.9136989417,2133136,20210222
20210223,000000,3439.070617795,3489.1541704813,3439.070617795,3464.1123941382,113493103,20210223
20210224,000000,3422.3761002329,3494.9972516281,3373.9619993028,3373.9619993028,41449253,20210224
20210227,000000,3324.7131724945,3324.7131724945,3324.7131724945,3324.7131724945,3499693,20210227
20210228,000000,3314.6964619573,3314.6964619573,3314.6964619573,3314.6964619573,1914305,20210228
20210301,000000,3310.5228325667,3310.5228325667,3310.5228325667,3310.5228325667,28157732,20210301
20210302,000000,3244.5794881964,3338.9035124223,3244.5794881964,3244.5794881964,118653776,20210302
20210303,000000,3206.1820978035,3245.4142140745,3192.8264837539,3192.8264837539,25258393,20210303
20210306,000000,3135.2303981646,3135.2303981646,3135.2303981646,3135.2303981646,6983277,20210306
20210307,000000,3116.8664288463,3138.569301677,3116.8664288463,3137.7345757989,102842029,20210307
20210308,000000,3130.2220428959,3267.9518127834,3117.7011547244,3209.521001316,123166312,20210308
20210309,000000,3238.7364070497,3297.1672185171,3119.3706064806,3119.3706064806,88703611,20210309
20210310,000000,3108.5191700652,3108.5191700652,3108.5191700652,3108.5191700652,21579315,20210310
20210313,000000,3054.2619879883,3163.6110780202,3054.2619879883,3121.8747841149,156013243,20210313
20210314,000000,3140.2387534332,3220.3724377313,3096.8330077717,3146.0818345799,102344974,20210314
20210315,000000,3142.7429310675,3238.7364070497,3111.8580735776,3171.9583368012,86466924,20210315
20210316,000000,3138.569301677,3356.4327558626,3138.569301677,3356.4327558626,137583909,20210316
20210317,000000,3497.5014292624,3505.8486880434,3364.7800146436,3372.2925475466,137891858,20210317
20210327,000000,3429.0539072577,3505.8486880434,3360.6063852531,3464.1123941382,71672099,20210327
20210328,000000,3480.8069117003,3530.8904643866,3388.9870651087,3414.0288414518,63757240,20210328
20210330,000000,3422.3761002329,3535.0640937771,3400.6732274021,3449.9220542104,83223764,20210330
20210331,000000,3447.4178765761,3473.2943787973,3399.0037756459,3399.0037756459,60526878,20210331
20210403,000000,3340.5729641785,3340.5729641785,3340.5729641785,3340.5729641785,10032483,20210403
20210404,000000,3313.0270102011,3313.0270102011,3313.0270102011,3313.0270102011,1829625,20210404
20210405,000000,3308.8533808105,3308.8533808105,3308.8533808105,3308.8533808105,8555063,20210405
20210406,000000,3297.1672185171,3399.838501524,3285.4810562236,3285.4810562236,69052744,20210406
20210407,000000,3235.3975035372,3235.3975035372,3235.3975035372,3235.3975035372,4754255,20210407
20210410,000000,3223.7113412438,3223.7113412438,3223.7113412438,3223.7113412438,3640982,20210410
20210411,000000,3213.6946307065,3213.6946307065,3213.6946307065,3213.6946307065,831192,20210411
20210412,000000,3211.1904530722,3211.1904530722,3211.1904530722,3211.1904530722,32002931,20210412
20210413,000000,3175.2972403136,3297.1672185171,3171.9583368012,3206.1820978035,154863509,20210413
20210414,000000,3188.6528543633,3238.7364070497,3138.569301677,3138.569301677,61985096,20210414
20210417,000000,3088.4857489907,3088.4857489907,3088.4857489907,3088.4857489907,13040431,20210417
20210418,000000,3055.9314397445,3055.9314397445,3055.9314397445,3055.9314397445,1704808,20210418
20210419,000000,3051.757810354,3051.757810354,3051.757810354,3051.757810354,27618561,20210419
20210420,000000,3014.1951458393,3046.7494550854,2990.8228212523,2990.8228212523,111517453,20210420
20210421,000000,2929.8878321506,2938.2350909317,2906.5155075636,2906.5155075636,23100597,20210421
20210424,000000,2828.8860008998,2828.8860008998,2828.8860008998,2828.8860008998,12811167,20210424
20210425,000000,2784.6455293602,2784.6455293602,2784.6455293602,2784.6455293602,4935329,20210425
20210426,000000,2767.9510117981,2813.0262092158,2767.9510117981,2793.8275140194,64402475,20210426
20210427,000000,2779.6371740916,2888.1515382453,2746.2481389674,2767.11628592,132890473,20210427
20210428,000000,2803.8442245566,2890.6557158796,2779.6371740916,2833.8943561685,82929267,20210428
20210501,000000,2814.695660972,2844.7457925838,2744.5786872112,2744.5786872112,37125364,20210501
20210502,000000,2678.6353428408,2678.6353428408,2678.6353428408,2678.6353428408,5131061,20210502
20210503,000000,2661.9408252787,2661.9408252787,2661.9408252787,2661.9408252787,3257630,20210503
20210505,000000,2651.0893888633,2685.3131498657,2651.0893888633,2651.0893888633,65115018,20210505
20210508,000000,2587.6502221273,2650.2546629852,2573.4598821995,2573.4598821995,65909181,20210508
20210509,000000,2504.1776343167,2551.7570093688,2499.1692790481,2499.1692790481,124137087,20210509
20210510,000000,2479.1358579736,2650.2546629852,2449.0857263618,2650.2546629852,154168653,20210510
20210511,000000,2712.8591038431,2764.6121082857,2681.1395204751,2764.6121082857,169695812,20210511
20210512,000000,2870.6222948051,2923.2100251257,2764.6121082857,2884.8126347329,318543512,20210512
20210515,000000,2849.7541478525,3005.0131611801,2798.0011434099,2829.7207267779,211482037,20210515
20210516,000000,2787.9844328726,2904.0113299293,2754.5953977484,2762.9426565295,93954499,20210516
20210517,000000,2779.6371740916,2813.0262092158,2677.8006169627,2677.8006169627,64948364,20210517
20210518,000000,2621.0392572515,2777.9677223354,2621.0392572515,2643.5768559604,58251717,20210518
20210519,000000,2669.4533581816,2669.4533581816,2555.9306387593,2555.9306387593,98106472,20210519
20210522,000000,2462.4413404115,2545.913928222,2441.5731934588,2441.5731934588,25681618,20210522
20210523,000000,2329.7199257927,2394.8285442849,2329.7199257927,2345.5797174767,132093495,20210523
20210524,000000,2332.224103427,2404.0105289441,2274.6280178377,2372.2909455761,85126537,20210524
20210525,000000,2354.7617021359,2467.4496956801,2354.7617021359,2467.4496956801,120896258,20210525
20210526,000000,2446.5815487275,2527.5499589037,2429.0523052872,2520.8721518789,70897163,20210526
20210529,000000,2520.8721518789,2606.0141914456,2520.8721518789,2606.0141914456,59287856,20210529
20210530,000000,2734.5619766739,2734.5619766739,2689.4867792562,2733.7272507958,298996195,20210530
20210531,000000,2726.2147178928,2824.7123715093,2637.7337748136,2679.4700687189,134180927,20210531
20210601,000000,2681.1395204751,2767.9510117981,2680.304794597,2730.3883472834,62820322,20210601
20210602,000000,2737.9008801863,2853.927777243,2681.1395204751,2853.927777243,177059192,20210602
20210607,000000,2913.1933145885,2974.1283036902,2879.8042794643,2974.1283036902,197568827,20210607
20210608,000000,2980.806110715,3021.7076787422,2813.8609350939,2829.7207267779,167212174,20210608
20210609,000000,2813.0262092158,2899.8377005388,2797.1664175318,2838.9027114371,62207908,20210609
20210612,000000,2838.067985559,2925.7142027601,2813.0262092158,2858.9361325116,69279429,20210612
20210613,000000,2863.1097619021,2963.2768672748,2838.9027114371,2920.7058474914,57982261,20210613
20210614,000000,2938.2350909317,3025.8813081327,2896.4987970264,2967.4504966653,73742295,20210614
20210615,000000,2978.3019330807,3020.038226986,2823.0429197531,2823.0429197531,90219903,20210615
20210616,000000,2754.5953977484,2871.4570206832,2754.5953977484,2807.1831280691,70565028,20210616
20210619,000000,2838.067985559,2938.2350909317,2796.3316916537,2904.8460558074,62005450,20210619
20210620,000000,2920.7058474914,2946.5823497127,2792.1580622632,2792.9927881413,74912939,20210620
20210621,000000,2780.4718999697,2885.647360611,2770.4551894324,2812.1914833377,72602083,20210621
20210622,000000,2837.2332596809,2970.7894001778,2821.3734679969,2970.7894001778,120943243,20210622
20210623,000000,3046.7494550854,3046.7494550854,3005.8478870582,3046.7494550854,149805658,20210623
20210626,000000,3195.3306613882,3198.6695649006,3064.2786985256,3096.8330077717,308248653,20210626
20210627,000000,3088.4857489907,3187.8181284852,3035.89801867,3067.617602038,112600924,20210627
20210628,000000,3046.7494550854,3173.6277885574,3022.5424046203,3096.8330077717,106624655,20210628
20210629,000000,3089.3204748688,3262.1087316366,3080.1384902096,3205.3473719254,159170983,20210629
20210630,000000,3213.6946307065,3248.7531175869,3127.7178652616,3154.429093361,63716062,20210630
20210703,000000,3171.9583368012,3216.1988083408,3014.1951458393,3014.1951458393,93864563,20210703
20210704,000000,2930.7225580287,3057.6008915008,2929.8878321506,2959.9379637624,88968848,20210704
20210705,000000,2963.2768672748,3079.3037643315,2963.2768672748,3055.0967138664,66232633,20210705
20210706,000000,3079.3037643315,3155.2638192391,3025.8813081327,3076.7995866972,108753816,20210706
20210707,000000,3013.3604199612,3070.9565055504,2938.2350909317,2988.318643618,95416797,20210707
20210710,000000,2950.7559791032,3020.8729528641,2896.4987970264,2971.6241260559,69033295,20210710
20210711,000000,2971.6241260559,3108.5191700652,2963.2768672748,3108.5191700652,174610985,20210711
20210712,000000,3167.7847074107,3197.8348390225,3085.9815713563,3113.5275253338,186457786,20210712
20210713,000000,3088.4857489907,3188.6528543633,3055.0967138664,3113.5275253338,140123720,20210713
20210718,000000,3050.8163013614,3127.0867088954,2898.2754862933,3051.663750334,58568063,20210718
20210719,000000,3050.8163013614,3135.5611986214,3017.76579143,3049.9688523888,74596153,20210719
20210726,000000,3212.6790551281,3212.6790551281,3212.6790551281,3212.6790551281,67269550,20210726
20210727,000000,3372.8469109495,3372.8469109495,3264.3734424567,3304.2035441689,465174208,20210727
20210728,000000,3294.8816054703,3423.6938493056,3271.1530342375,3398.2703801276,162446099,20210728
20210731,000000,3389.7958904015,3538.9469095792,3381.3214006756,3499.9642568396,240318418,20210731
20210801,000000,3491.4897671136,3521.1504811546,3389.7958904015,3399.1178291002,118550751,20210801
20210802,000000,3368.6096660865,3530.4724198532,3366.9147681413,3517.7606852642,133155648,20210802
20210803,000000,3533.8622157436,3610.9800722503,3474.5407876616,3610.9800722503,272397534,20210803
20210804,000000,3652.5050719077,3690.6402756747,3555.8958890312,3643.1831332091,153032039,20210804
20210807,000000,3610.1326232777,3644.0305821817,3505.8963996478,3533.014766771,126739646,20210807
20210808,000000,3516.9132362916,3601.6581335516,3491.4897671136,3516.065787319,86202206,20210808
20210809,000000,3533.8622157436,3636.4035414283,3508.4387465656,3627.9290517023,106183778,20210809
20210810,000000,3584.7091540996,3724.5382345787,3584.7091540996,3669.4540513597,119332653,20210810
20210811,000000,3703.3520102637,3836.401498962,3694.8775205377,3836.401498962,329737746,20210811
20210814,000000,3940.6377225918,3940.6377225918,3695.7249695103,3813.5203767018,130590047,20210814
20210815,000000,3783.8596626607,3854.1979273866,3752.5040506745,3842.3336417702,77558634,20210815
20210822,000000,3813.5203767018,3855.8928253318,3727.0805814965,3762.6734383457,168374173,20210822
20210823,000000,3745.7244588937,3766.0632342361,3624.5392558119,3720.3009897157,139075562,20210823
20210824,000000,3737.2499691677,3874.536702729,3711.8264999897,3874.536702729,237068266,20210824
20210825,000000,3940.6377225918,4024.5351708792,3817.7576215648,3927.0785390302,138336577,20210825
20210828,000000,3915.2142534138,4049.9586400572,3906.7397636878,3992.3321099204,165515606,20210828
20210829,000000,4067.7550684819,4179.6183328651,3958.4341510164,4025.3826198518,323789804,20210829
20210830,000000,3957.5867020438,4152.4999657419,3912.671906496,3915.2142534138,280403918,20210830
20210831,000000,3855.8928253318,4151.6525167693,3838.9438458798,4076.2295582079,237326350,20210831
20210901,000000,4076.2295582079,4160.9744554679,3974.5356814958,4091.4836397147,159115446,20210901
20210904,000000,4093.1785376599,4150.8050677967,3982.1627222492,4016.9081301258,140041948,20210904
20210905,000000,4016.9081301258,4066.9076195093,3940.6377225918,3999.9591506738,99768481,20210905
20210906,000000,4008.4336403998,4059.2805787559,3794.0290503319,3821.9948664277,110116885,20210906
20210907,000000,3799.1137441675,3864.3673150578,3737.2499691677,3752.5040506745,101944907,20210907
20210908,000000,3754.1989486197,3864.3673150578,3745.7244588937,3828.7744582086,92540424,20210908
20210911,000000,3884.7060904002,3884.7060904002,3614.3698681407,3635.5560924557,185527201,20210911
20210912,000000,3567.7601746476,3667.7591534145,3499.9642568396,3651.6576229351,152289039,20210912
20210913,000000,3618.6071130037,3749.9617037567,3516.9132362916,3749.9617037567,156892396,20210913
20210914,000000,3805.0458869757,3866.062213003,3738.0974181403,3841.4861927976,116250780,20210914
20210915,000000,3799.9611931401,3830.4693561538,3686.4030308117,3762.6734383457,56564737,20210915
20210918,000000,3728.7754794417,3805.0458869757,3574.5397664284,3577.9295623188,103464888,20210918
20210919,000000,3499.9642568396,3648.2678270447,3436.4055838946,3533.8622157436,94657209,20210919
20210920,000000,3512.6759914286,3575.387215401,3449.1173184836,3466.0662979356,42590121,20210920
20210921,000000,3483.0152773876,3516.9132362916,3328.7795643743,3347.4234417715,110970768,20210921
20210922,000000,3455.8969102644,3455.8969102644,3187.2555859501,3342.3387479359,96690761,20210922
20210925,000000,3348.2708907441,3479.6254814972,3348.2708907441,3472.8458897164,69580564,20210925
20210926,000000,3479.6254814972,3491.4897671136,3374.5418088947,3398.2703801276,44586475,20210926
20210928,000000,3402.5076249906,3472.8458897164,3308.4407890319,3331.3219112921,42814126,20210928
20210929,000000,3388.9484414289,3474.5407876616,3349.1183397167,3432.1683390316,57173478,20210929
20211002,000000,3433.0157880042,3574.5397664284,3433.0157880042,3574.5397664284,82355095,20211002
20211003,000000,3618.6071130037,3690.6402756747,3530.4724198532,3598.2683376612,107833659,20211003
20211004,000000,3598.2683376612,3677.9285410857,3533.8622157436,3673.6912962227,58435654,20211004
