InsCode,DEven,Idn,NumberOfShareNew,NumberOfShareOld
15949743338644220,20120128,268,400000000,310000000
38437201078089290,20120130,269,1764600000,882300000
47377315952751604,20120130,270,250000000,145000000
17645323253056599,20120130,271,24900100,2000000
22086876724551482,20120201,272,340200000,226800000
8303557992090046,20120204,273,62120911,1000000
778253364357513,20120205,274,20000000000,16000000000
34454945407422432,20120205,275,100000000,35000000
17299508146321256,20120205,276,445000000,440793438
22787503301679573,20120206,277,1913950000,1097250000
57086055330734195,20120206,278,243000000,81000000
7385624172574740,20120207,279,3000000000,1600000000
17299508146321256,20120208,280,455000000,445000000
4942127026063388,20120215,281,200000000,79536000
58931793851445922,20120215,282,6500000000,1893375000
65414507129586385,20120219,283,151200000,100800000
19257295292088310,20120220,284,100000000,30000000
15259343650667588,20120221,285,62057180,43650000
53641635925683969,20120221,286,1500000000,675500000
35113075091643530,20120225,287,132000000,1000000000
63407210152538984,20120225,288,85000000,30000000
14009560662665347,20120225,289,1000,20000000
53361855643723578,20120225,290,27440000,210000000
67526366820181168,20120225,291,1275100,2050000
50792786683910016,20120226,292,200100000,174000000
22667016906590506,20120310,293,600000000,400000000
57273529732791251,20120313,294,204360000,162000000
15039949673085566,20120317,295,325000000,260000000
57273529732791251,20120324,296,204120000,204360000
39348926601774626,20120327,297,644297,609363
12364611634133528,20120327,298,628611,609363
163301738200990,20120327,299,574799,609363
16369313804633525,20120402,300,200000000,30000000
45174198424472334,20120402,301,1200000000,600000000
45358789705522696,20120408,302,100000,7215000
20865316761157979,20120502,303,1000000000,540000000
60451823714332895,20120505,304,200000000,125000000
8977441217024425,20120506,305,300000000,200000000
41867071915439180,20120507,306,73500000,81163159
14098803458396918,20120513,307,457291,574799
67126881188552864,20120522,308,9975103763,10000000000
68995806996389257,20120523,309,549392,457291
67030488744129337,20120530,310,100000000,69000000
13611044044646901,20120605,311,1500000000,1200000000
37614886280396031,20120620,312,6100000000,3000000000
41625340598198551,20120626,313,400000000,280000000
40262275031537922,20120702,314,233280000,77760000
68117765376081366,20120702,315,675000000,383684000
47996917271187218,20120703,316,7250000000,4500000000
6479253536750886,20120703,317,1934509000,280000000
41625340598198551,20120711,318,280000000,400000000
48393054214913539,20120711,319,569110,549392
45050389997905274,20120722,320,6000000000,4000000000
9097515773407564,20120723,321,575861,569110
5054819322815158,20120724,322,30000000,12500000
62346804681275278,20120725,323,134844000,74844000
56883298211786806,20120815,324,4900000000,3895000000
35964395659427029,20120822,325,37800000,28000000
68923188291458394,20120822,326,10144825,10144820
46982154647719707,20120902,327,750000000,600000000
60767592882123239,20120903,328,571725,575861
14957056743925737,20120909,329,44000000,22000000
6257725767708176,20120910,330,2205315,2265440
40808043719554948,20120916,331,1903000000,1303000000
778253364357513,20120926,332,33100000000,20000000000
31024260997481994,20120930,333,50000000,30000000
25095385550006158,20121008,334,575041,571725
57944184894703821,20121009,335,1380100000,1100100000
65004959184388996,20121009,336,607417000,165000000
26824673819862694,20121009,337,5070000000,3520000000
43622578471330344,20121009,338,441000000,363000000
9536587154100457,20121015,339,30000000000,27258000000
44818950263583523,20121027,340,5000000000,4000000000
64358061873294912,20121029,341,50000000,15600000
69090868458637360,20121107,342,70000000,57000000
27000326841257664,20121117,343,570000000,300000000
51922189364308501,20121117,344,2100000000,600000000
23838634016123354,20121121,345,400000000,250000000
33603212156438463,20121202,346,85000000,35000000
2328862017676109,20121205,347,3588000000,2392000000
4758266259250794,20121205,348,100000000,50000000
26014913469567886,20121208,349,16000000000,12000000000
41625340598198551,20121212,350,400000000,280000000
17800036702302776,20121217,351,3000000000,1500000000
38417665293111458,20121217,352,30000000,24500000
24018878640527909,20121217,353,8400000000,5250000000
71744682148776880,20121225,354,1000000000,600000000
35158826900216508,20121231,355,30000000,10000000
18303237082155264,20130108,356,110000000,52820000
65883838195688438,20130108,357,9600000000,8820000000
20926459161497908,20130113,358,600000000,300000000
51971068201094874,20130128,359,756000000,630000000
17059960254855208,20130130,360,164608000,82304000
49054891736433700,20130211,361,168000000,56000000
23441366113375722,20130211,362,10000000000,6000000000
25286509736208688,20130213,363,60000000,30000000
35478981890584027,20130217,364,818181818,600000000
13937270451301973,20130220,365,3628800000,3024000000
4733285133017464,20130225,366,4200000000,2800000000
29247915161590165,20130227,367,225000000,75000000
48623320733330408,20130227,368,500000000,303750000
21164477711564061,20130305,369,2769493800,1714306200
35700344742885862,20130309,370,10000000000,6000000000
65890979512650954,20130309,371,612023,575041
1245925241417929,20130309,372,725912,575041
48045086469637559,20130309,373,761419,575041
12338753854555828,20130309,374,797782,575041
66492965118417192,20130309,375,905443,575041
30852391633490755,20130312,376,306000000,153000000
7395271748414592,20130313,377,4685306883,4900000000
35796086458096255,20130325,378,771498000,257166000
24085906177899789,20130325,379,110000000,50000000
26014913469567886,20130409,380,18000000000,16000000000
11214189898887899,20130410,381,885285,905443
18401147983387689,20130413,382,420000000,315000000
51106317433079213,20130415,383,2300000000,455000000
44153164692325703,20130423,384,90000000,45000000
48305002535402787,20130430,385,815477,885285
43062880954780884,20130501,386,160000000,100000000
11432067920374603,20130504,387,200000000,100000000
40394021371311628,20130507,388,600000000,300000000
41048299027409941,20130514,389,910852000,506000000
50341528161302545,20130522,390,101200000,25300000
63380098535169030,20130526,391,81000000,36000000
62177651435283872,20130526,392,98360000,49180000
44834847569322522,20130529,393,200000000,105000000
33931218652865616,20130529,394,1150000000,850000000
20562694899904339,20130529,395,3000000000,1000000000
54676885047867737,20130529,396,630000000,300000000
9481703061634967,20130602,397,1562000000,1100000000
33931218652865616,20130602,398,1450000000,1150000000
33931218652865616,20130603,399,1150000000,1450000000
50732326426469382,20130603,400,350000000,250000000
21164477711564061,20130603,401,2772981200,2769493800
23214828924506640,20130608,402,833125000,666500000
14957056743925737,20130608,403,88000000,44000000
59217041815333317,20130609,404,85000000,50000000
35425587644337450,20130610,405,35000000000,17368933800
44275397707148088,20130611,406,901675,815477
13611044044646901,20130619,407,2000000000,1500000000
2950378541189013,20130623,408,1036422000,240000000
30650426998863332,20130625,409,701452430,300000000
67030488744129337,20130629,410,140000000,100000000
64749875350678762,20130703,411,900034,901675
15039949673085566,20130709,412,500000000,325000000
3654864906585643,20130709,413,160000000,95243000
15259343650667588,20130713,414,165098680,62057180
48511238766369097,20130714,415,1020372999,105475000
41227201752535311,20130714,416,233000000,50000000
63580313877463104,20130714,417,80000000,60000000
22255783119783047,20130716,418,205000000,102500000
34673681828119297,20130720,419,420000000,240000000
18027801615184692,20130721,420,12000000000,6000000000
15259343650667588,20130721,421,165098374,165098680
17828928229984367,20130724,422,867160,900034
48010225447410247,20130727,423,4500000000,3220000000
46348559193224090,20130727,424,36000000000,25800000000
28672095850798501,20130728,425,300000000,30000000
40411537531154482,20130731,426,195000000,24000000
59921975187856916,20130731,427,255557475,200000000
30719054967088301,20130804,428,519686000,119686000
20453828618330936,20130818,429,240000000,170000000
52792903131341205,20130824,430,40000000,20000000
51971068201094874,20130824,431,907200000,756000000
42070382870377817,20130824,432,770249,867160
24018878640527909,20130825,433,12600000000,8400000000
65999092673039059,20130831,434,650000000,186753072
14398278072324784,20130904,435,60120000,30060000
49353447565507376,20130904,436,150000000,100000000
60451823714332895,20130915,437,250000000,200000000
49776615757150035,20130916,438,6000000000,4000000000
70270965300262393,20130924,439,3600000000,600000000
66450490505950110,20130924,440,70800000,35400000
69465793209205703,20130924,441,814599,770249
16959429956899455,20130930,442,210000000,70000000
21164477711564061,20131001,443,540048800,2772981200
28320293733348826,20131020,444,57800000000,22906142000
24303422207378456,20131020,445,250000000,44000000
47302318535715632,20131020,446,11312000000,8000000000
8977369674477111,20131020,447,90000000,60000000
12638840758449459,20131020,448,350000000,300000000
38547060135156069,20131022,449,1000000000,300000000
43716452378323683,20131022,450,180000000,60000000
1359959101711313,20131026,451,863593,814599
3863538898378476,20131028,452,3120000000,2000000000
43062880954780884,20131028,453,220000000,160000000
71523986304961239,20131028,454,100692000,50000000
3863538898378476,20131029,455,3000000000,3120000000
52232388263291380,20131030,456,20000000000,10000000000
67170215467608124,20131030,457,100000000,50000000
59921975187856916,20131103,458,400000000,255557475
69090868458637360,20131109,459,90000000,70000000
32678431934327184,20131123,460,400000000,250000000
27952969918967492,20131123,461,655000000,299975000
60654872678917533,20131123,462,53222400,26611200
37163551945096882,20131124,463,881893,863593
40611478183231802,20131125,464,120000000,60000000
67126881188552864,20131130,465,10000000000,9975103763
2944500421562364,20131130,466,1300000000,976048000
42387718866026650,20131203,467,1023000000,330000000
11091856606007867,20131203,468,90000000,75000000
20946530370469828,20131208,469,600000000,450000000
67030488744129337,20131211,470,200000000,140000000
23837844039713715,20131211,471,136000000,68000000
23441366113375722,20131211,472,15000000000,10000000000
43622578471330344,20131214,473,561000000,441000000
43781018754867729,20131214,474,63909057,23622000
43781018754867729,20131216,475,80000000,63909057
22260326095996531,20131217,476,206148000,51537000
29122854902865456,20131217,477,150000000,98500000
22086876724551482,20131221,478,680400000,340200000
50276422352366581,20131222,479,897200,881893
28864540805361867,20131224,480,8000000000,2192000000
10568944722570445,20131224,481,200000000,76000000
67988012428906654,20131229,482,400000000,200000000
47232550823972469,20131229,483,610000000,260000000
47996917271187218,20140105,484,8500000000,7250000000
37204371816016200,20140105,485,14400000000,7200000000
25001509088465005,20140105,486,210000000,151875000
57944184894703821,20140112,487,1680100000,1380100000
65321970913593427,20140114,488,324000000,162000000
13313496265135255,20140121,489,1005194,897200
35964395659427029,20140125,490,200000000,37800000
30829203706095076,20140125,491,1750000000,1500000000
64341992373049080,20140125,492,102000000,51000000
18093681647131179,20140125,493,130000000,100000000
22787503301679573,20140128,494,2413950000,1913950000
22382156782768756,20140202,495,600000000,300000000
54419429862704331,20140203,496,874491000,200000000
33293588228706998,20140204,497,15840000000,13200000000
58931793851445922,20140209,498,16000000000,6500000000
7483280423474368,20140212,499,320000000,64000000
56550776668133562,20140212,500,300000000,150000000
18303237082155264,20140212,501,200000000,110000000
7395271748414592,20140215,502,10000000000,4685306883
44153164692325703,20140217,503,200000000,90000000
4563413583000719,20140217,504,600000000,375000000
778253364357513,20140225,505,40000000000,33100000000
39337083665364092,20140225,506,927556,1005194
33783140337377394,20140305,507,300000000,150000000
14398278072324784,20140309,508,273600000,60120000
11622051128546106,20140309,509,540000000,135000078
66701874099226162,20140310,510,2000000000,943800000
17834623106317041,20140312,511,55000000,40000000
43342306308122676,20140316,512,120000000,23070667
7745894403636165,20140316,513,10000000000,4162258100
63917421733088077,20140317,514,45700000000,17500000000
65883838195688438,20140317,515,12000000000,9600000000
25336820825905643,20140317,516,5800000000,2900000000
55910871837550367,20140317,517,916331,927556
15039949673085566,20140319,518,800000000,500000000
12387472624849835,20140319,519,250000000,108000000
22667016906590506,20140319,520,960000000,600000000
